canon powershot g3,,,i recently purchased the canon powershot g3 and am extremely satisfied with the purchase .,nsubj####purchased####i######nsubj####satisfied####i######advmod####purchased####recently######det####g3####the######amod####g3####canon######nn####g3####powershot######dobj####purchased####g3######auxpass####satisfied####am######advmod####satisfied####extremely######conj_and####purchased####satisfied######det####purchase####the######prep_with####satisfied####purchase
use,,,"the camera is very easy to use , in fact on a recent trip this past week_i was asked to take a picture of a vacationing elderly group .",det####camera####the######nsubj####easy####camera######xsubj####use####camera######cop####easy####is######advmod####easy####very######aux####use####to######xcomp####easy####use######prep_in####easy####fact######det####trip####a######amod####trip####recent######prep_on####fact####trip######det####week_i####this######amod####week_i####past######nsubjpass####asked####week_i######xsubj####take####week_i######auxpass####asked####was######ccomp####easy####asked######aux####take####to######xcomp####asked####take######det####picture####a######dobj####take####picture######det####group####a######amod####group####vacationing######amod####group####elderly######prep_of####picture####group
,,,"after i took their picture with their camera , they offered to take a picture of us .",mark####took####after######nsubj####took####i######advcl####offered####took######poss####picture####their######dobj####took####picture######poss####camera####their######prep_with####took####camera######nsubj####offered####they######xsubj####take####they######aux####take####to######xcomp####offered####take######det####picture####a######dobj####take####picture######prep_of####picture####us
,,,"i just told them , press_halfway , wait for the box to turn green and press the rest of the way .",nsubj####told####i######advmod####told####just######nsubj####wait####them######advmod####wait####press_halfway######ccomp####told####wait######det####box####the######prep_for####wait####box######aux####turn####to######infmod####box####turn######acomp####turn####green######infmod####box####press######conj_and####turn####press######det####rest####the######dobj####press####rest######det####way####the######prep_of####rest####way
picture,,,they fired away and the picture turned out quite nicely . ( as all of my pictures have thusfar ) .,quantmod####all####as######nsubj####have####all######poss####pictures####my######prep_of####all####pictures######dobj####have####thusfar
picture quality,,,a few of my work_constituants owned the g2 and highly recommended the canon for picture_quality .,det####few####a######nsubj####owned####few######nsubj####recommended####few######poss####work_constituants####my######prep_of####few####work_constituants######det####g2####the######dobj####owned####g2######advmod####recommended####highly######conj_and####owned####recommended######det####canon####the######dobj####recommended####canon######prep_for####recommended####picture_quality
picture quality,,,i 'm easily enlarging pictures to 8 1/2 x 11 with no visable loss in picture_quality and not even using the best possible setting as yet ( super fine ) .,nsubj####enlarging####i######aux####enlarging####'m######advmod####enlarging####easily######dobj####enlarging####pictures######prep_to####enlarging####8 1\/2######prep_to####enlarging####11######conj_x####8 1\/2####11######det####loss####no######amod####loss####visable######prep_with####enlarging####loss######prep_in####loss####picture_quality######conj_and####enlarging####not######neg####enlarging####not######advmod####using####even######dep####enlarging####using######det####setting####the######dep####possible####best######amod####setting####possible######dobj####using####setting######advmod####yet####as######advmod####setting####yet######amod####fine####super######appos####setting####fine
,,,"ensure you get a larger flash , 128 or 256 , some are selling with the larger flash , 32mb will do in a pinch but you 'll quickly want a larger flash card as with any of the 4mp cameras .",dep####do####ensure######nsubj####get####you######ccomp####ensure####get######det####flash####a######amod####flash####larger######dobj####get####flash######dobj####get####128######conj_or####flash####128######dobj####get####256######conj_or####flash####256######nsubj####selling####some######aux####selling####are######parataxis####do####selling######det####flash####the######amod####flash####larger######prep_with####selling####flash######nsubj####do####32mb######aux####do####will######det####pinch####a######prep_in####do####pinch######nsubj####want####you######aux####want####'ll######advmod####want####quickly######conj_but####do####want######det####card####a######amod####card####larger######nn####card####flash######dobj####want####card######dep####want####as######prep_with####want####any######det####cameras####the######amod####cameras####4mp######prep_of####any####cameras
"camera, use, feature",,,"bottom line , well made camera , easy to use , very flexible and powerful features to include the ability to use external flash and lense_/ filters_choices .",amod####line####bottom######nsubj####features####line######xsubj####include####line######advmod####made####well######partmod####line####made######dobj####made####camera######amod####camera####easy######aux####use####to######xcomp####easy####use######advmod####flexible####very######dep####easy####flexible######dep####easy####powerful######conj_and####flexible####powerful######aux####include####to######xcomp####features####include######det####ability####the######dobj####include####ability######aux####use####to######infmod####ability####use######amod####flash####external######dobj####use####flash######amod####filters_choices####lense######amod####filters_choices####_######nn####filters_choices####\/######dobj####use####filters_choices######conj_and####flash####filters_choices
"picture quality, use, option",,,i 'd highly recommend this camera for anyone who is looking for excellent quality_pictures and a combination of ease of use and the flexibility to get advanced with many options to adjust if you like .,nsubj####recommend####i######aux####recommend####'d######advmod####recommend####highly######det####camera####this######dobj####recommend####camera######nsubj####looking####camera######prep_for####camera####anyone######aux####looking####is######rcmod####camera####looking######amod####quality_pictures####excellent######prep_for####looking####quality_pictures######det####combination####a######prep_for####looking####combination######conj_and####quality_pictures####combination######prep_of####combination####ease######prep_of####ease####use######det####flexibility####the######prep_of####ease####flexibility######conj_and####use####flexibility######aux####advanced####to######dep####advanced####get######xcomp####looking####advanced######amod####options####many######prep_with####advanced####options######aux####adjust####to######xcomp####advanced####adjust######mark####like####if######nsubj####like####you######advcl####adjust####like
,,,great job_canon !,amod####job_canon####great
