,,,"this is an edited review , now that i have had time to use the device .",nsubj####review####this######cop####review####is######det####review####an######amod####review####edited######advmod####had####now######dep####had####that######nsubj####had####i######aux####had####have######dep####review####had######dobj####had####time######aux####use####to######xcomp####had####use######det####device####the######dobj####use####device
affordability,,,"while , there are flaws with the machine , the xtra gets five stars because of its affordability .",mark####are####while######expl####are####there######advcl####gets####are######nsubj####are####flaws######det####machine####the######prep_with####flaws####machine######det####xtra####the######nsubj####gets####xtra######num####stars####five######dobj####gets####stars######poss####affordability####its######prep_because_of####stars####affordability
,bang-for-the-buck,,it is the most bang-for-the-buck out there .,nsubj####bang-for-the-buck####it######cop####bang-for-the-buck####is######det####bang-for-the-buck####the######amod####bang-for-the-buck####most######prep####bang-for-the-buck####out######pobj####out####there
"size,weight,navigational system, sound",,,"like it 's predecessor , the quickly revised nx , this player boasts a decent size and weight , a relatively-intuitive navigational system that categorizes based on id3_tags , and excellent sound ( widely known to be better than ipod - not surprising considering the number of years creative has been in the audio peripheral business ) ."
screen,,,"the xtra improves upon the zen_nx with a larger , now-blue backlit_screen , which is infinitely better .",det####xtra####the######nsubj####improves####xtra######det####zen_nx####the######prep_upon####improves####zen_nx######det####backlit_screen####a######amod####backlit_screen####larger######amod####backlit_screen####now-blue######prep_with####zen_nx####backlit_screen######nsubj####better####backlit_screen######cop####better####is######advmod####better####infinitely######rcmod####backlit_screen####better
,,,"further , the xtra doubles the maximum filecount_capacity to 16000 mp3 .",advmod####doubles####further######det####xtra####the######nsubj####doubles####xtra######det####filecount_capacity####the######amod####filecount_capacity####maximum######dobj####doubles####filecount_capacity######num####mp3####16000######prep_to####doubles####mp3
,,,this is especially useful for those who listen mostly to pop music and store all those short ditties .,nsubj####useful####this######cop####useful####is######advmod####useful####especially######prep_for####useful####those######nsubj####listen####those######rcmod####those####listen######advmod####listen####mostly######aux####pop####to######xcomp####listen####pop######dobj####pop####music######xcomp####listen####store######conj_and####pop####store######predet####ditties####all######det####ditties####those######amod####ditties####short######dobj####store####ditties
,,,"when compared to the ipod the zen_xtra falls short , but only by a bit .",advmod####falls####when######det####ipod####the######prep_compared_to####falls####ipod######det####zen_xtra####the######nsubj####falls####zen_xtra######acomp####falls####short######acomp####falls####only######advmod####short####only######conj_but####short####only######acomp####falls####by######conj_but####short####by######det####bit####a######prep_by####short####bit
,,,"yes the ipod is smaller , but not $ 200 worth , which is the premium you 'll pay for an equivalent capacity_model .",advmod####ipod####yes######det####ipod####the######nsubj####smaller####ipod######cop####smaller####is######dep####not####but######dep####worth####not######measure####worth####$######num####$####200######dep####smaller####worth######nsubj####premium####which######cop####premium####is######det####premium####the######ccomp####smaller####premium######dobj####pay####premium######nsubj####pay####you######aux####pay####'ll######rcmod####premium####pay######det####capacity_model####an######nn####capacity_model####equivalent######prep_for####pay####capacity_model
,,,"yes , the ipod looks in tune with the carefully articulated urban-hipster persona thats become popular as of late , but sure-as-hell is n't worth the $ 200 premium ( unless you are just dying to match your music_player with that volkswagen_beetle and urban outfitters wardrobe ) .",dep####popular####yes######det####looks####the######amod####looks####ipod######nsubj####popular####looks######prep_in####looks####tune######det####thats####the######advmod####articulated####carefully######amod####thats####articulated######amod####thats####urban-hipster######nn####thats####persona######prep_with####tune####thats######cop####popular####become######prep_as_of####popular####late######nsubj####is####sure-as-hell######conj_but####popular####is######neg####is####n't######prep####is####worth######det####premium####the######num####premium####$######number####$####200######dep####worth####premium######mark####dying####unless######nsubj####dying####you######xsubj####match####you######aux####dying####are######advmod####dying####just######dep####premium####dying######aux####match####to######xcomp####dying####match######poss####music_player####your######dobj####match####music_player######det####volkswagen_beetle####that######prep_with####match####volkswagen_beetle######amod####wardrobe####urban######nn####wardrobe####outfitters######prep_with####match####wardrobe######conj_and####volkswagen_beetle####wardrobe
