camera,,,this camera is perfect for an enthusiastic amateur_photographer .,det####camera####this######nsubj####perfect####camera######cop####perfect####is######det####amateur_photographer####an######amod####amateur_photographer####enthusiastic######prep_for####perfect####amateur_photographer
"picture, macro",,,"the pictures are razor-sharp , even in macro .",det####pictures####the######nsubj####razor-sharp####pictures######cop####razor-sharp####are######advmod####razor-sharp####even######prep_in####razor-sharp####macro
,size,,it is small enough to fit easily in a coat_pocket or purse .,nsubj####small####it######cop####small####is######advmod####small####enough######aux####fit####to######xcomp####small####fit######advmod####fit####easily######det####coat_pocket####a######prep_in####fit####coat_pocket######prep_in####fit####purse######conj_or####coat_pocket####purse
,weight,,it is light enough to carry around all day without bother .,nsubj####light####it######cop####light####is######advmod####light####enough######aux####carry####to######xcomp####light####carry######prt####carry####around######det####day####all######tmod####carry####day######prep_without####carry####bother
,feature,,"operating its many features is easy and often obvious - i 'm no annie_lebovitz , but i was able to figure out most of its abilities just messing around with it at a camera_store .",csubj####easy####operating######csubj####obvious####operating######poss####features####its######amod####features####many######dobj####operating####features######cop####easy####is######advmod####obvious####often######conj_and####easy####obvious######nsubj####annie_lebovitz####i######cop####annie_lebovitz####'m######det####annie_lebovitz####no######parataxis####easy####annie_lebovitz######nsubj####able####i######cop####able####was######parataxis####easy####able######conj_but####annie_lebovitz####able######aux####figure####to######xcomp####able####figure######prt####figure####out######dobj####figure####most######poss####abilities####its######prep_of####most####abilities######advmod####messing####just######xcomp####figure####messing######prt####messing####around######prep_with####messing####it######det####camera_store####a######prep_at####messing####camera_store
manual,,,the manual does a fine job filling in any blanks that remain .,det####manual####the######nsubj####does####manual######det####job####a######amod####job####fine######dobj####does####job######partmod####job####filling######det####blanks####any######prep_in####filling####blanks######nsubj####remain####blanks######rcmod####blanks####remain
"auto focus,scene mode",,,"the auto-focus_performs well , but i love having the 12 optional scene_modes - they are dummy-proof , and correspond to many situations in which i would actually seek to use the camera .",det####auto-focus_performs####the######dep####well####auto-focus_performs######advmod####love####well######cc####love####but######nsubj####love####i######xcomp####love####having######det####scene_modes####the######num####scene_modes####12######amod####scene_modes####optional######dobj####having####scene_modes######nsubj####dummy-proof####they######nsubj####correspond####they######cop####dummy-proof####are######parataxis####love####dummy-proof######parataxis####love####correspond######conj_and####dummy-proof####correspond######amod####situations####many######prep_to####correspond####situations######rel####seek####which######nsubj####seek####i######xsubj####use####i######aux####seek####would######advmod####seek####actually######rcmod####situations####seek######aux####use####to######xcomp####seek####use######det####camera####the######dobj####use####camera
rechargable battery,,,"comes with a 16 mb compact flash and one rechargable battery the charging unit , included , is fast and small .",det####flash####a######number####mb####16######num####flash####mb######amod####flash####compact######prep_with####comes####flash######nn####battery####one######nn####battery####rechargable######prep_with####comes####battery######conj_and####flash####battery######det####unit####the######nn####unit####charging######nsubj####fast####unit######nsubj####small####unit######partmod####unit####included######cop####fast####is######rcmod####flash####fast######rcmod####flash####small######conj_and####fast####small
,,,"i bought a 256 mb_cf and a second battery , so it 's good to go on a long vacation .",nsubj####bought####i######det####mb_cf####a######num####mb_cf####256######dobj####bought####mb_cf######det####battery####a######amod####battery####second######dobj####bought####battery######conj_and####mb_cf####battery######dep####bought####so######nsubj####good####it######cop####good####'s######ccomp####bought####good######aux####go####to######xcomp####good####go######det####vacation####a######amod####vacation####long######prep_on####go####vacation
camera,,,i enthusiastically recommend this camera .,dep####recommend####i######advmod####recommend####enthusiastically######det####camera####this######dobj####recommend####camera
,,,"i got my camera three days back , and although i had some experience with digital cameras prior to purchasing this one , i still rate myself as a beginner .",nsubj####got####i######poss####camera####my######dobj####got####camera######num####days####three######dep####back####days######advmod####got####back######mark####had####although######nsubj####had####i######advcl####rate####had######det####experience####some######dobj####had####experience######amod####cameras####digital######prep_with####experience####cameras######prepc_prior_to####had####purchasing######det####one####this######dobj####purchasing####one######nsubj####rate####i######advmod####rate####still######conj_and####got####rate######dobj####rate####myself######det####beginner####a######prep_as####rate####beginner
,,,i bought this camera because it fit my budget and the pre-production and production_model reviews were positive .,nsubj####bought####i######det####camera####this######dobj####bought####camera######mark####fit####because######nsubj####fit####it######advcl####bought####fit######poss####budget####my######nsubj####positive####budget######det####reviews####the######amod####reviews####pre-production######conj_and####pre-production####production_model######amod####reviews####production_model######conj_and####budget####reviews######nsubj####positive####reviews######cop####positive####were######ccomp####fit####positive
