,,,i am a business_user who heavily depend on mobile service .,nsubj####business_user####i######cop####business_user####am######det####business_user####a######nsubj####depend####business_user######advmod####depend####heavily######rcmod####business_user####depend######amod####service####mobile######prep_on####depend####service
"phone, work",,,"there is much which has been said in other reviews about the features of this phone , it is a great phone , mine worked without any problems right out of the box .",expl####is####there######ccomp####is####is######acomp####is####much######nsubjpass####said####which######aux####said####has######auxpass####said####been######ccomp####is####said######amod####reviews####other######prep_in####said####reviews######det####features####the######prep_about####said####features######det####phone####this######prep_of####features####phone######nsubj####is####it######det####phone####a######amod####phone####great######attr####is####phone######appos####phone####mine######partmod####mine####worked######det####problems####any######prep_without####worked####problems######dep####problems####right######det####box####the######prep_out_of####problems####box
,,,just double check with customer_service to ensure the number provided by amazon is for the city_/ exchange you wanted .,nsubj####is####just######dep####just####double######dep####just####check######prep_with####check####customer_service######aux####ensure####to######xcomp####check####ensure######det####number####the######dobj####ensure####number######prep####ensure####provided######dep####provided####by######pobj####by####amazon######det####exchange####the######nn####exchange####city######nn####exchange####_######nn####exchange####\/######prep_for####is####exchange######dobj####wanted####exchange######nsubj####wanted####you######rcmod####exchange####wanted
at&t customer service,,,"after several years of torture in the hands of at & t customer_service i am delighted to drop them , and look forward to august 2004 when i will convert our other 3 family-phones from at & t to t-mobile !",amod####years####several######prep_after####delighted####years######prep_of####years####torture######det####hands####the######prep_in####torture####hands######prep####hands####of######dep####of####at######cc####t####&######pobj####at####t######amod####t####customer_service######nsubj####delighted####i######cop####delighted####am######aux####drop####to######xcomp####delighted####drop######dobj####drop####them######xcomp####delighted####look######conj_and####drop####look######prt####look####forward######prep_to####look####August######num####August####2004######advmod####convert####when######nsubj####convert####i######aux####convert####will######advcl####look####convert######poss####family-phones####our######amod####family-phones####other######num####family-phones####3######dobj####convert####family-phones######prep####family-phones####from######dep####from####at######cc####t####&######pobj####at####t######prep_to####t####t-mobile
signal quality,,,"i have had the phone for 1 week , the signal quality has been great in the detroit area ( suburbs ) and in my recent road_trip between detroit and northern kentucky ( cincinnati ) i experienced perfect signal and reception along i-75 , far superior to at & # 38 ; t 's which does not work along several long stretches on that same route ."
,,,"i have owned motorola , panasonic and nokia phones over the last 8 years and generally prefer nokia , this phone combines many of the best nokia_features , the only feature missing for me is the voice_recognition .",dep####owned####i######aux####owned####have######nn####phones####motorola######conj_and####motorola####panasonic######nn####phones####panasonic######conj_and####motorola####nokia######nn####phones####nokia######dobj####owned####phones######det####years####the######amod####years####last######num####years####8######prep_over####owned####years######advmod####prefer####generally######conj_and####owned####prefer######dobj####prefer####nokia######det####phone####this######nsubj####combines####phone######parataxis####prefer####combines######dobj####combines####many######det####nokia_features####the######amod####nokia_features####best######prep_of####many####nokia_features######det####feature####the######amod####feature####only######dobj####prefer####feature######partmod####feature####missing######mark####voice_recognition####for######nsubj####voice_recognition####me######cop####voice_recognition####is######det####voice_recognition####the######advcl####missing####voice_recognition
"speaker phone,radio,infrared",,,"my favorite features , although there are many , are the speaker_phone , the radio and the infrared .",poss####features####my######amod####features####favorite######nsubj####are####features######mark####are####although######expl####are####there######dep####features####are######acomp####are####many######det####speaker_phone####the######attr####are####speaker_phone######det####radio####the######attr####are####radio######conj_and####speaker_phone####radio######det####infrared####the######attr####are####infrared######conj_and####speaker_phone####infrared
speaker phone,,,"the speaker_phone is very functional and i use it in the car , very audible even with freeway noise .",det####speaker_phone####the######nsubj####functional####speaker_phone######cop####functional####is######advmod####functional####very######nsubj####use####i######conj_and####functional####use######dobj####use####it######det####car####the######prep_in####use####car######advmod####audible####very######dep####use####audible######dep####audible####even######nn####noise####freeway######prep_with####audible####noise
infrared,,,"the infrared is a blessing if you have a previous nokia and want to transfer your old phone_book to this phone , saved me hours of re-entering my numbers .",det####infrared####the######nsubj####blessing####infrared######cop####blessing####is######det####blessing####a######mark####have####if######nsubj####have####you######nsubj####want####you######xsubj####transfer####you######advcl####blessing####have######det####nokia####a######amod####nokia####previous######dobj####have####nokia######advcl####blessing####want######conj_and####have####want######aux####transfer####to######xcomp####want####transfer######poss####phone_book####your######amod####phone_book####old######dobj####transfer####phone_book######det####phone####this######prep_to####transfer####phone######partmod####phone####saved######iobj####saved####me######dobj####saved####hours######prepc_of####hours####re-entering######poss####numbers####my######dobj####re-entering####numbers
,,,"the combination of the nokia 6610 and t-mobile service ( signal , price , service ) is a winner , i highly recommend it .",det####combination####the######nsubj####winner####combination######det####service####the######amod####service####nokia######dep####nokia####6610######dep####nokia####t-mobile######conj_and####6610####t-mobile######prep_of####combination####service######nn####service####signal######dep####service####price######appos####service####service######cop####winner####is######det####winner####a######ccomp####recommend####winner######nsubj####recommend####i######advmod####recommend####highly######dobj####recommend####it
